====================================================================================================
 CANCHARIOS — FASE 4D.2 · CERTIFICACIÓN NUMÉRICA FINAL SIN FUGA
====================================================================================================
PASS | Contrato productivo 01_frecuencias_PGV | esperado=True | observado=True | exacto | fuente=01_frecuencias_PGV.frequencies
PASS | Exactitud multinomial | esperado=0.32552083 | observado=0.32552083000000004 | dif=5.55111512313e-17 | fuente=logistic.precision/100
PASS | LogLik ordinal | esperado=-553.114145 | observado=-553.114145 | dif=0 | fuente=ordinal.raw_values.logLik
PASS | AIC ordinal | esperado=1118.228 | observado=1118.228 | dif=0 | fuente=ordinal.aic
PASS | LR ordinal | esperado=63.09 | observado=63.09 | dif=0 | fuente=ordinal.lr_chi2
PASS | B PGV ordinal | esperado=0.272354 | observado=0.272354 | dif=0 | fuente=ordinal.raw_values.coefficients_B[0]
PASS | OR PGV ordinal | esperado=1.313051 | observado=1.3130517393633543 | dif=7.39363354318e-07 | fuente=exp(B PGV)
PASS | B IER ordinal | esperado=0.671091 | observado=0.671091 | dif=0 | fuente=ordinal.raw_values.coefficients_B[1]
PASS | OR IER ordinal | esperado=1.95637 | observado=1.9563705570216057 | dif=5.57021605729e-07 | fuente=exp(B IER)
PASS | Exactitud CV discriminante | esperado=0.2994791666666667 | observado=0.2994791666666667 | dif=0 | fuente=derivada de discriminant.cross_validation.confusion_matrix_cv
PASS | WithinSS total | esperado=380.017032 | observado=380.017032 | dif=0 | fuente=cluster.within_ss_raw
PASS | BetweenSS | esperado=768.982968 | observado=768.982968 | dif=0 | fuente=cluster.between_ss_raw
PASS | Silhouette | esperado=0.341149 | observado=0.341149 | dif=0 | fuente=cluster.silhouette_raw
PASS | Tamaños de clúster | esperado=[108, 123, 153] | observado=[108, 123, 153] | exacto | fuente=cluster.clusters[].n

====================================================================================================
RESULTADO FINAL EXTENDIDO: 75 PASS | 0 FAIL | 75 comprobaciones
====================================================================================================
DICTAMEN: MÉTODOS ESTADÍSTICOS EXTENDIDOS VALIDADOS NUMÉRICAMENTE CON BASE REAL.
DICTAMEN CONSOLIDADO: CORE 113/113 + EXTENDIDOS 75/75.
